time_index,card.nic.bps.avg.r
1605018000000.0,1037278660
1605018060000.0,1177044000
1605018120000.0,340673020
1605018180000.0,7694701000
1605018240000.0,8047784400
1605018300000.0,5116394500
1605018360000.0,3516859100
1605018420000.0,1224699800
1605018480000.0,1327416000
1605018540000.0,1097245600
1605018600000.0,1134666500
1605018660000.0,4814990300
1605018720000.0,888807800
1605018780000.0,1286474600
1605018840000.0,1376845800
1605018900000.0,1150252000
1605018960000.0,2169261000
1605019020000.0,3587139300
1605019080000.0,1630632000
1605019140000.0,5165762600
1605019200000.0,3543263200
1605019260000.0,5160932000
1605019320000.0,1001500800
1605019380000.0,811276100
1605019440000.0,1169719800
1605019500000.0,1283169900
1605019560000.0,1500282200
1605019620000.0,215419200
1605019680000.0,7141669000
1605019740000.0,4183428400
1605019800000.0,5251047000
1605019860000.0,3529025800
1605019920000.0,1291624300
1605019980000.0,1157570700
1605020040000.0,1126711700
1605020100000.0,1020593800
1605020160000.0,1234844000
1605020220000.0,2293654300
1605020280000.0,4695114000
1605020340000.0,5660375000
1605020400000.0,4365649000
1605020460000.0,4509850600
1605020520000.0,901089150
1605020580000.0,1334224300
1605020640000.0,1395895900
1605020700000.0,1437916800
1605020760000.0,1440795600
1605020820000.0,2616314000
1605020880000.0,8319564000
1605020940000.0,2673123600
1605021000000.0,4612204000
1605021060000.0,4572707000
1605021120000.0,1424069600
1605021180000.0,1500596200
1605021240000.0,1401891500
1605021300000.0,1333907000
1605021360000.0,1318230000
1605021420000.0,1237806600
1605021480000.0,4494228500
1605021540000.0,5556994000
1605021600000.0,4258180600
1605021660000.0,5433842700
1605021720000.0,1435362200
1605021780000.0,1284955400
1605021840000.0,1369130200
1605021900000.0,1095453300
1605021960000.0,3300288500
1605022020000.0,4165396000
1605022080000.0,2573067800
1605022140000.0,1339675500
1605022200000.0,1204079100
1605022260000.0,1624202000
1605022320000.0,2832985300
1605022380000.0,3011464200
1605022440000.0,1509520600
1605022500000.0,1316254000
1605022560000.0,3422700000
1605022620000.0,1212694400
1605022680000.0,2599251500
1605022740000.0,3584946200
1605022800000.0,8051822600
1605022860000.0,5232893000
1605022920000.0,1423696300
1605022980000.0,1428944400
1605023040000.0,1663657000
1605023100000.0,4952869400
1605023160000.0,1728116500
1605023220000.0,869264900
1605023280000.0,1191799800
1605023340000.0,1216117100
1605023400000.0,4016269300
1605023460000.0,1127031000
1605023520000.0,2196715800
1605023580000.0,829345700
1605023640000.0,1497604900
1605023700000.0,7274222600
1605023760000.0,8111075300
1605023820000.0,5654913500
1605023880000.0,5254556000
1605023940000.0,1146127600
1605024000000.0,1365987100
1605024060000.0,1447556500
1605024120000.0,1441131000
1605024180000.0,2265903900
1605024240000.0,5204862500
1605024300000.0,1027328400
1605024360000.0,691828740
1605024420000.0,1025833500
1605024480000.0,1210829000
1605024540000.0,1053326850
1605024600000.0,2076899700
1605024660000.0,1127465600
1605024720000.0,1610215600
1605024780000.0,6146840000
1605024840000.0,3762781200
1605024900000.0,5169580500
1605024960000.0,4291089400
1605025020000.0,1500758800
1605025080000.0,1428927900
1605025140000.0,1348502400
1605025200000.0,1305857300
1605025260000.0,1258326800
1605025320000.0,1182625400
1605025380000.0,4898979000
1605025440000.0,3448741400
1605025500000.0,5266171400
1605025560000.0,894659100
1605025620000.0,848836740
1605025680000.0,1138401400
1605025740000.0,1419227400
1605025800000.0,1024456300
1605025860000.0,1751318100
1605025920000.0,3106721500
1605025980000.0,2773560300
1605026040000.0,1573584400
1605026100000.0,137696690
1605026160000.0,3614374700
1605026220000.0,5838603000
1605026280000.0,1278633700
