time_index,card.nic.bps.avg.r
1605018000000.0,14760184000
1605018060000.0,16079213000
1605018120000.0,16290848000
1605018180000.0,15675769000
1605018240000.0,15202403000
1605018300000.0,15812014000
1605018360000.0,16672501000
1605018420000.0,15343741000
1605018480000.0,15751419000
1605018540000.0,15193402000
1605018600000.0,13664536000
1605018660000.0,15122957000
1605018720000.0,15176328000
1605018780000.0,16161614000
1605018840000.0,15140333000
1605018900000.0,14381316000
1605018960000.0,14586497000
1605019020000.0,13863434000
1605019080000.0,13761279000
1605019140000.0,14611611000
1605019200000.0,14748975000
1605019260000.0,15067981000
1605019320000.0,13105326000
1605019380000.0,14929244000
1605019440000.0,16042083000
1605019500000.0,15084591000
1605019560000.0,13741641000
1605019620000.0,13218586000
1605019680000.0,14858089000
1605019740000.0,14242317000
1605019800000.0,14037651000
1605019860000.0,14076656000
1605019920000.0,13553297000
1605019980000.0,15760161000
1605020040000.0,14177129000
1605020100000.0,13914810000
1605020160000.0,12583621000
1605020220000.0,13432092000
1605020280000.0,12363311000
1605020340000.0,12966590000
1605020400000.0,14188452000
1605020460000.0,14544620000
1605020520000.0,13613485000
1605020580000.0,14013638000
1605020640000.0,13874801000
1605020700000.0,12877112000
1605020760000.0,12727294000
1605020820000.0,12873386000
1605020880000.0,13322714000
1605020940000.0,14336997000
1605021000000.0,13977950000
1605021060000.0,13545487000
1605021120000.0,12532738000
1605021180000.0,11573727000
1605021240000.0,12095569000
1605021300000.0,10875358000
1605021360000.0,10426873000
1605021420000.0,12440006000
1605021480000.0,11363699000
1605021540000.0,11496513000
1605021600000.0,11331710000
1605021660000.0,11401219000
1605021720000.0,12455097000
1605021780000.0,12410183000
1605021840000.0,11245642000
1605021900000.0,11073434000
1605021960000.0,12100750000
1605022020000.0,12108008000
1605022080000.0,11757392000
1605022140000.0,11773526000
1605022200000.0,12254197000
1605022260000.0,13570180000
1605022320000.0,12714727000
1605022380000.0,11604162000
1605022440000.0,11366153000
1605022500000.0,11626009000
1605022560000.0,11807040000
1605022620000.0,12448772000
1605022680000.0,12381927000
1605022740000.0,11328075000
1605022800000.0,11657704000
1605022860000.0,10634746000
1605022920000.0,10839212000
1605022980000.0,9706469000
1605023040000.0,9495385000
1605023100000.0,10927515000
1605023160000.0,10387561000
1605023220000.0,11964707000
1605023280000.0,12445493000
1605023340000.0,11508532000
1605023400000.0,10794078000
1605023460000.0,8950749000
1605023520000.0,9308590000
1605023580000.0,9316701000
1605023640000.0,9172173000
1605023700000.0,9507979000
1605023760000.0,9682403000
1605023820000.0,10357646000
1605023880000.0,10952027000
1605023940000.0,10041590000
1605024000000.0,12199541000
1605024060000.0,12986548000
1605024120000.0,12165641000
1605024180000.0,13082698000
1605024240000.0,13913576000
1605024300000.0,12821514000
1605024360000.0,13442262000
1605024420000.0,12770988000
1605024480000.0,12361373000
1605024540000.0,11627069000
1605024600000.0,12859367000
1605024660000.0,11486872000
1605024720000.0,10280477000
1605024780000.0,9927155000
1605024840000.0,10160472000
1605024900000.0,11076026000
1605024960000.0,12127118000
1605025020000.0,11484260000
1605025080000.0,10467823000
1605025140000.0,9539745000
1605025200000.0,9045857000
1605025260000.0,8308408300
1605025320000.0,8613239000
1605025380000.0,9861298000
1605025440000.0,9801350000
1605025500000.0,9153477000
1605025560000.0,9088013000
1605025620000.0,9306481000
1605025680000.0,8742541000
1605025740000.0,9569322000
1605025800000.0,10730245000
1605025860000.0,9385736000
1605025920000.0,10138013000
1605025980000.0,11473868000
1605026040000.0,11280078000
1605026100000.0,10482229000
1605026160000.0,8205647400
1605026220000.0,8945189000
1605026280000.0,10347636000
1605026340000.0,9379588000
