time_index,card.nic.pps.avg.t
1605018000000.0,607420
1605018060000.0,600213
1605018120000.0,572251
1605018180000.0,619222
1605018240000.0,612165
1605018300000.0,586687
1605018360000.0,609642
1605018420000.0,607436
1605018480000.0,620853
1605018540000.0,561414
1605018600000.0,575407
1605018660000.0,550443
1605018720000.0,612385
1605018780000.0,610397
1605018840000.0,613455
1605018900000.0,608930
1605018960000.0,612721
1605019020000.0,641486
1605019080000.0,625983
1605019140000.0,594544
1605019200000.0,608943
1605019260000.0,619361
1605019320000.0,612523
1605019380000.0,681244
1605019440000.0,672902
1605019500000.0,705903
1605019560000.0,689976
1605019620000.0,693421
1605019680000.0,707387
1605019740000.0,684095
1605019800000.0,669745
1605019860000.0,648366
1605019920000.0,662580
1605019980000.0,709898
1605020040000.0,676440
1605020100000.0,698359
1605020160000.0,731529
1605020220000.0,739592
1605020280000.0,709307
1605020340000.0,720781
1605020400000.0,715271
1605020460000.0,705198
1605020520000.0,698457
1605020580000.0,694739
1605020640000.0,727679
1605020700000.0,698721
1605020760000.0,719622
1605020820000.0,692305
1605020880000.0,740303
1605020940000.0,696522
1605021000000.0,731350
1605021060000.0,698933
1605021120000.0,749631
1605021180000.0,709725
1605021240000.0,706875
1605021300000.0,730089
1605021360000.0,696321
1605021420000.0,691990
1605021480000.0,759789
1605021540000.0,698830
1605021600000.0,732101
1605021660000.0,697094
1605021720000.0,704737
1605021780000.0,712476
1605021840000.0,735307
1605021900000.0,705885
1605021960000.0,686330
1605022020000.0,707104
1605022080000.0,727959
1605022140000.0,740110
1605022200000.0,738675
1605022260000.0,734671
1605022320000.0,725579
1605022380000.0,761614
1605022440000.0,760307
1605022500000.0,773690
1605022560000.0,720377
1605022620000.0,764966
1605022680000.0,756339
1605022740000.0,764917
1605022800000.0,726899
1605022860000.0,748303
1605022920000.0,776351
1605022980000.0,734560
1605023040000.0,716179
1605023100000.0,716196
1605023160000.0,676427
1605023220000.0,708601
1605023280000.0,779510
1605023340000.0,772374
1605023400000.0,711777
1605023460000.0,712691
1605023520000.0,743241
1605023580000.0,716376
1605023640000.0,714809
1605023700000.0,732004
1605023760000.0,695106
1605023820000.0,681971
1605023880000.0,684703
1605023940000.0,678185
1605024000000.0,707217
1605024060000.0,760525
1605024120000.0,689682
1605024180000.0,702202
1605024240000.0,737272
1605024300000.0,693004
1605024360000.0,715368
1605024420000.0,750224
1605024480000.0,719473
1605024540000.0,692146
1605024600000.0,711516
1605024660000.0,713047
1605024720000.0,671130
1605024780000.0,703577
1605024840000.0,703738
1605024900000.0,687551
1605024960000.0,715795
1605025020000.0,686894
1605025080000.0,699601
1605025140000.0,714752
1605025200000.0,695148
1605025260000.0,713788
1605025320000.0,696834
1605025380000.0,763085
1605025440000.0,721673
1605025500000.0,752204
1605025560000.0,702275
1605025620000.0,714635
1605025680000.0,751155
1605025740000.0,743201
1605025800000.0,728851
1605025860000.0,695473
1605025920000.0,713470
1605025980000.0,717362
1605026040000.0,721336
1605026100000.0,722748
1605026160000.0,742744
1605026220000.0,747009
1605026280000.0,769175
1605026340000.0,748176
1605026400000.0,743665
1605026460000.0,728029
1605026520000.0,686247
1605026580000.0,701705
1605026640000.0,733838
1605026700000.0,740358
1605026760000.0,715584
1605026820000.0,690590
1605026880000.0,702077
1605026940000.0,704344
1605027000000.0,712831
1605027060000.0,645251
1605027120000.0,737793
1605027180000.0,725011
1605027240000.0,718347
1605027300000.0,698373
1605027360000.0,752415
1605027420000.0,675004
1605027480000.0,745729
1605027540000.0,717734
1605027600000.0,705844
1605027660000.0,704536
1605027720000.0,696345
1605027780000.0,776782
1605027840000.0,764568
1605027900000.0,746344
1605027960000.0,706718
1605028020000.0,714698
1605028080000.0,765401
1605028140000.0,716698
1605028200000.0,711094
1605028260000.0,710606
1605028320000.0,710955
1605028380000.0,693822
1605028440000.0,745172
1605028500000.0,753880
1605028560000.0,775420
1605028620000.0,724951
1605028680000.0,689678
1605028740000.0,630561
1605028800000.0,640728
1605028860000.0,636392
1605028920000.0,664243
1605028980000.0,689989
1605029040000.0,679047
1605029100000.0,680316
1605029160000.0,657176
1605029220000.0,621981
1605029280000.0,681668
1605029340000.0,620714
1605029400000.0,622411
1605029460000.0,628978
1605029520000.0,620409
1605029580000.0,647787
1605029640000.0,622634
1605029700000.0,608685
1605029760000.0,684758
1605029820000.0,658091
1605029880000.0,684187
1605029940000.0,648197
1605030000000.0,641681
1605030060000.0,618931
1605030120000.0,649006
1605030180000.0,607417
1605030240000.0,664838
1605030300000.0,680387
1605030360000.0,706808
1605030420000.0,657710
1605030480000.0,674309
1605030540000.0,660999
1605030600000.0,608617
1605030660000.0,606355
1605030720000.0,614408
1605030780000.0,616958
1605030840000.0,617607
1605030900000.0,585720
1605030960000.0,550984
1605031020000.0,573095
1605031080000.0,571258
1605031140000.0,567405
1605031200000.0,606475
1605031260000.0,602211
1605031320000.0,658667
1605031380000.0,717802
1605031440000.0,695410
1605031500000.0,640316
1605031560000.0,676841
1605031620000.0,687772
1605031680000.0,672181
1605031740000.0,736697
1605031800000.0,639325
1605031860000.0,606194
1605031920000.0,703775
1605031980000.0,612971
1605032040000.0,580947
1605032100000.0,617542
1605032160000.0,628119
1605032220000.0,668093
1605032280000.0,684592
1605032340000.0,672023
1605032400000.0,658999
1605032460000.0,659751
1605032520000.0,645424
1605032580000.0,667233
1605032640000.0,613096
1605032700000.0,598729
1605032760000.0,671938
1605032820000.0,633487
1605032880000.0,642001
1605032940000.0,676983
1605033000000.0,619464
1605033060000.0,646700
1605033120000.0,628177
1605033180000.0,670831
1605033240000.0,611001
1605033300000.0,663424
1605033360000.0,621978
1605033420000.0,601869
1605033480000.0,596991
1605033540000.0,551868
1605033600000.0,540302
1605033660000.0,531937
1605033720000.0,554529
1605033780000.0,584896
1605033840000.0,543149
1605033900000.0,547308
1605033960000.0,566461
1605034020000.0,547097
1605034080000.0,537915
1605034140000.0,541635
1605034200000.0,575727
1605034260000.0,597737
1605034320000.0,622080
1605034380000.0,576214
1605034440000.0,572142
1605034500000.0,567296
1605034560000.0,583062
1605034620000.0,582108
1605034680000.0,520752
1605034740000.0,552198
1605034800000.0,587871
1605034860000.0,586645
1605034920000.0,618682
1605034980000.0,582770
1605035040000.0,565239
1605035100000.0,572058
1605035160000.0,544126
1605035220000.0,554586
1605035280000.0,538467
