time_index,card.nic.pps.avg.t
1605018000000.0,425442
1605018060000.0,426104
1605018120000.0,485690
1605018180000.0,453117
1605018240000.0,452664
1605018300000.0,481703
1605018360000.0,470884
1605018420000.0,455052
1605018480000.0,423328
1605018540000.0,440680
1605018600000.0,457314
1605018660000.0,453226
1605018720000.0,441690
1605018780000.0,494464
1605018840000.0,486201
1605018900000.0,469185
1605018960000.0,472105
1605019020000.0,459067
1605019080000.0,473147
1605019140000.0,434694
1605019200000.0,449166
1605019260000.0,432119
1605019320000.0,449136
1605019380000.0,439138
1605019440000.0,478225
1605019500000.0,477601
1605019560000.0,480425
1605019620000.0,478235
1605019680000.0,469381
1605019740000.0,478153
1605019800000.0,450737
1605019860000.0,517909
1605019920000.0,495534
1605019980000.0,486713
1605020040000.0,490407
1605020100000.0,471051
1605020160000.0,477333
1605020220000.0,425152
1605020280000.0,465094
1605020340000.0,535900
1605020400000.0,495996
1605020460000.0,467113
1605020520000.0,473524
1605020580000.0,430239
1605020640000.0,495446
1605020700000.0,503835
1605020760000.0,485008
1605020820000.0,475572
1605020880000.0,479907
1605020940000.0,471670
1605021000000.0,483081
1605021060000.0,471871
1605021120000.0,476118
1605021180000.0,494064
1605021240000.0,521608
1605021300000.0,487757
1605021360000.0,489226
1605021420000.0,504310
1605021480000.0,513793
1605021540000.0,490737
1605021600000.0,515638
1605021660000.0,482408
1605021720000.0,518365
1605021780000.0,538886
1605021840000.0,482187
1605021900000.0,483605
1605021960000.0,495168
1605022020000.0,491870
1605022080000.0,450490
1605022140000.0,442077
1605022200000.0,448848
1605022260000.0,474080
1605022320000.0,464345
1605022380000.0,486033
1605022440000.0,497303
1605022500000.0,494081
1605022560000.0,451985
1605022620000.0,493871
1605022680000.0,518836
1605022740000.0,465388
1605022800000.0,503587
1605022860000.0,550367
1605022920000.0,534537
1605022980000.0,526763
1605023040000.0,575683
1605023100000.0,552581
1605023160000.0,500573
1605023220000.0,507430
1605023280000.0,512836
1605023340000.0,512478
1605023400000.0,504749
1605023460000.0,496950
1605023520000.0,478383
1605023580000.0,510301
1605023640000.0,512405
1605023700000.0,473639
1605023760000.0,475908
1605023820000.0,472622
1605023880000.0,516386
1605023940000.0,463224
1605024000000.0,520419
1605024060000.0,503467
1605024120000.0,494038
1605024180000.0,499178
1605024240000.0,525647
1605024300000.0,498199
1605024360000.0,525678
1605024420000.0,482529
1605024480000.0,473822
1605024540000.0,429890
1605024600000.0,460696
1605024660000.0,501973
1605024720000.0,455564
1605024780000.0,504721
1605024840000.0,521743
1605024900000.0,495128
1605024960000.0,461140
1605025020000.0,502539
1605025080000.0,482363
1605025140000.0,494491
1605025200000.0,493349
1605025260000.0,531878
1605025320000.0,474232
1605025380000.0,491921
1605025440000.0,474549
1605025500000.0,535575
1605025560000.0,485077
1605025620000.0,481482
1605025680000.0,481089
1605025740000.0,448113
1605025800000.0,455662
1605025860000.0,448098
1605025920000.0,467389
1605025980000.0,520645
1605026040000.0,512266
1605026100000.0,495913
1605026160000.0,476375
1605026220000.0,477513
1605026280000.0,510601
1605026340000.0,556815
1605026400000.0,511300
1605026460000.0,546835
1605026520000.0,517103
1605026580000.0,445643
1605026640000.0,517170
1605026700000.0,521953
1605026760000.0,485726
1605026820000.0,500559
1605026880000.0,493028
1605026940000.0,496055
1605027000000.0,503766
1605027060000.0,474635
1605027120000.0,466505
1605027180000.0,459718
1605027240000.0,520865
1605027300000.0,543098
1605027360000.0,505573
1605027420000.0,484774
1605027480000.0,437478
1605027540000.0,426740
1605027600000.0,486683
1605027660000.0,472655
1605027720000.0,469912
1605027780000.0,496392
1605027840000.0,508116
1605027900000.0,521084
1605027960000.0,491484
1605028020000.0,483832
1605028080000.0,497846
1605028140000.0,435827
1605028200000.0,446844
1605028260000.0,433900
1605028320000.0,451336
1605028380000.0,491099
1605028440000.0,450657
1605028500000.0,440484
1605028560000.0,471852
1605028620000.0,473612
1605028680000.0,486059
1605028740000.0,526826
1605028800000.0,484955
1605028860000.0,497671
1605028920000.0,490629
1605028980000.0,516955
1605029040000.0,535212
1605029100000.0,506970
1605029160000.0,516745
1605029220000.0,527225
1605029280000.0,555202
1605029340000.0,538725
1605029400000.0,485566
1605029460000.0,471143
1605029520000.0,494820
1605029580000.0,499351
1605029640000.0,474994
1605029700000.0,463777
1605029760000.0,491302
1605029820000.0,456840
1605029880000.0,495956
1605029940000.0,516930
1605030000000.0,551213
1605030060000.0,491446
1605030120000.0,485231
1605030180000.0,459125
1605030240000.0,481536
1605030300000.0,480422
1605030360000.0,481162
1605030420000.0,477068
1605030480000.0,468771
1605030540000.0,478135
1605030600000.0,497451
1605030660000.0,519703
1605030720000.0,492306
1605030780000.0,482021
1605030840000.0,486104
1605030900000.0,454106
1605030960000.0,503194
1605031020000.0,476374
1605031080000.0,482631
1605031140000.0,481215
1605031200000.0,467139
1605031260000.0,482470
1605031320000.0,435903
1605031380000.0,486540
1605031440000.0,469032
1605031500000.0,496217
1605031560000.0,488511
1605031620000.0,480171
1605031680000.0,436744
1605031740000.0,435913
1605031800000.0,447658
1605031860000.0,431823
1605031920000.0,430988
1605031980000.0,424528
1605032040000.0,445617
1605032100000.0,442568
1605032160000.0,491779
1605032220000.0,459046
1605032280000.0,432173
1605032340000.0,433800
1605032400000.0,435762
1605032460000.0,492304
1605032520000.0,435822
1605032580000.0,454598
1605032640000.0,432819
1605032700000.0,431319
1605032760000.0,389633
1605032820000.0,431859
1605032880000.0,430716
1605032940000.0,451491
1605033000000.0,372465
1605033060000.0,385491
1605033120000.0,407488
1605033180000.0,418263
1605033240000.0,422859
1605033300000.0,424009
1605033360000.0,413166
1605033420000.0,403289
1605033480000.0,439185
1605033540000.0,399951
1605033600000.0,391829
1605033660000.0,417512
1605033720000.0,392493
1605033780000.0,380099
