time_index,card.nic.pps.avg.t
1605018000000.0,586131
1605018060000.0,597768
1605018120000.0,586187
1605018180000.0,573546
1605018240000.0,596499
1605018300000.0,590472
1605018360000.0,606375
1605018420000.0,597119
1605018480000.0,557289
1605018540000.0,603835
1605018600000.0,564862
1605018660000.0,612766
1605018720000.0,627514
1605018780000.0,657501
1605018840000.0,610615
1605018900000.0,597262
1605018960000.0,653489
1605019020000.0,632160
1605019080000.0,608761
1605019140000.0,607560
1605019200000.0,634126
1605019260000.0,662392
1605019320000.0,627449
1605019380000.0,612165
1605019440000.0,612537
1605019500000.0,607298
1605019560000.0,600607
1605019620000.0,612276
1605019680000.0,594799
1605019740000.0,575581
1605019800000.0,620747
1605019860000.0,603534
1605019920000.0,596266
1605019980000.0,628461
1605020040000.0,611868
1605020100000.0,623205
1605020160000.0,660507
1605020220000.0,573458
1605020280000.0,586872
1605020340000.0,614342
1605020400000.0,647565
1605020460000.0,662609
1605020520000.0,681385
1605020580000.0,690570
1605020640000.0,640688
1605020700000.0,614457
1605020760000.0,626443
1605020820000.0,602811
1605020880000.0,635453
1605020940000.0,630515
1605021000000.0,613275
1605021060000.0,681818
1605021120000.0,651985
1605021180000.0,696251
1605021240000.0,685817
1605021300000.0,613478
1605021360000.0,652062
1605021420000.0,668770
1605021480000.0,650382
1605021540000.0,666779
1605021600000.0,648721
1605021660000.0,626079
1605021720000.0,706928
1605021780000.0,656898
1605021840000.0,664032
1605021900000.0,689016
1605021960000.0,642285
1605022020000.0,656433
1605022080000.0,698326
1605022140000.0,696583
1605022200000.0,679083
1605022260000.0,697422
1605022320000.0,640406
1605022380000.0,668484
1605022440000.0,675884
1605022500000.0,611350
1605022560000.0,644332
1605022620000.0,702769
1605022680000.0,638738
1605022740000.0,628875
1605022800000.0,641909
1605022860000.0,642686
1605022920000.0,636465
1605022980000.0,613894
1605023040000.0,667148
1605023100000.0,656946
1605023160000.0,649269
1605023220000.0,623855
1605023280000.0,644470
1605023340000.0,617853
1605023400000.0,607677
1605023460000.0,615868
1605023520000.0,633830
1605023580000.0,635990
1605023640000.0,600158
1605023700000.0,644598
1605023760000.0,618705
1605023820000.0,662066
1605023880000.0,663830
1605023940000.0,666005
1605024000000.0,657202
1605024060000.0,662318
1605024120000.0,625891
1605024180000.0,606086
1605024240000.0,609054
1605024300000.0,691900
1605024360000.0,666002
1605024420000.0,636315
1605024480000.0,639635
1605024540000.0,633249
1605024600000.0,638782
1605024660000.0,627377
1605024720000.0,637207
1605024780000.0,635977
1605024840000.0,645704
1605024900000.0,684300
1605024960000.0,670150
1605025020000.0,673924
1605025080000.0,599971
1605025140000.0,616571
1605025200000.0,626542
1605025260000.0,643220
1605025320000.0,607987
1605025380000.0,624658
1605025440000.0,638404
1605025500000.0,595755
1605025560000.0,597871
1605025620000.0,635958
1605025680000.0,615606
1605025740000.0,589613
1605025800000.0,616662
1605025860000.0,593880
1605025920000.0,610954
1605025980000.0,610768
1605026040000.0,626329
1605026100000.0,708207
1605026160000.0,651037
1605026220000.0,653781
1605026280000.0,652985
1605026340000.0,674191
1605026400000.0,628554
1605026460000.0,601451
1605026520000.0,628350
1605026580000.0,683309
1605026640000.0,662854
1605026700000.0,636057
1605026760000.0,643099
1605026820000.0,630790
1605026880000.0,636377
1605026940000.0,640362
1605027000000.0,649824
1605027060000.0,689309
1605027120000.0,639460
1605027180000.0,642406
1605027240000.0,648910
1605027300000.0,625105
1605027360000.0,642330
1605027420000.0,632450
1605027480000.0,655242
1605027540000.0,681194
1605027600000.0,660960
1605027660000.0,651511
1605027720000.0,634610
1605027780000.0,708233
1605027840000.0,663957
1605027900000.0,692947
1605027960000.0,630857
1605028020000.0,613693
1605028080000.0,645148
1605028140000.0,675999
1605028200000.0,658233
1605028260000.0,642268
1605028320000.0,635504
1605028380000.0,617457
1605028440000.0,642289
1605028500000.0,625664
1605028560000.0,668981
1605028620000.0,623536
1605028680000.0,635416
1605028740000.0,644267
1605028800000.0,627440
1605028860000.0,602255
1605028920000.0,635214
