time_index,card.nic.bps.avg.r
1605018000000.0,16570730000
1605018060000.0,17201517000
1605018120000.0,16192247000
1605018180000.0,15907281000
1605018240000.0,15481310000
1605018300000.0,14310860000
1605018360000.0,17435898000
1605018420000.0,17143042000
1605018480000.0,16385568000
1605018540000.0,15417638000
1605018600000.0,14052796000
1605018660000.0,15828357000
1605018720000.0,15614914000
1605018780000.0,15179458000
1605018840000.0,15350471000
1605018900000.0,17337514000
1605018960000.0,17952422000
1605019020000.0,17095983000
1605019080000.0,16783390000
1605019140000.0,15314223000
1605019200000.0,14210250000
1605019260000.0,15065069000
1605019320000.0,16471885000
1605019380000.0,15705698000
1605019440000.0,14671340000
1605019500000.0,13077638000
1605019560000.0,12677171000
1605019620000.0,13160233000
1605019680000.0,13145724000
1605019740000.0,15437279000
1605019800000.0,14589807000
1605019860000.0,16487424000
1605019920000.0,13767480000
1605019980000.0,13665516000
1605020040000.0,14228008000
1605020100000.0,15631604000
1605020160000.0,15054052000
1605020220000.0,13627969000
1605020280000.0,13506695000
1605020340000.0,14740332000
1605020400000.0,15095078000
1605020460000.0,16472411000
1605020520000.0,14785687000
1605020580000.0,16166678000
1605020640000.0,13696429000
1605020700000.0,12927199000
1605020760000.0,12183587000
1605020820000.0,12859490000
1605020880000.0,11413881000
1605020940000.0,11803028000
1605021000000.0,13782157000
1605021060000.0,13678369000
1605021120000.0,14211805000
1605021180000.0,13504778000
1605021240000.0,13095506000
1605021300000.0,13293185000
1605021360000.0,15945457000
1605021420000.0,14618446000
1605021480000.0,15623298000
1605021540000.0,13472582000
1605021600000.0,15424975000
1605021660000.0,13629375000
1605021720000.0,14006155000
1605021780000.0,16232550000
1605021840000.0,15245647000
1605021900000.0,14699428000
1605021960000.0,13316016000
1605022020000.0,12624347000
1605022080000.0,13905318000
1605022140000.0,13693747000
1605022200000.0,15899040000
1605022260000.0,14474131000
1605022320000.0,13971784000
1605022380000.0,13763565000
1605022440000.0,12831453000
1605022500000.0,14096835000
1605022560000.0,14055579000
1605022620000.0,14248738000
1605022680000.0,13465440000
1605022740000.0,12633030000
1605022800000.0,13096735000
1605022860000.0,13855630000
1605022920000.0,12934521000
1605022980000.0,12555310000
1605023040000.0,12039178000
1605023100000.0,14262914000
1605023160000.0,13292588000
1605023220000.0,12585142000
1605023280000.0,13068136000
1605023340000.0,12580471000
1605023400000.0,14087712000
1605023460000.0,14016422000
1605023520000.0,14817762000
1605023580000.0,14673378000
1605023640000.0,15066084000
1605023700000.0,12142019000
1605023760000.0,12518906000
1605023820000.0,9717820000
1605023880000.0,12755378000
1605023940000.0,12791048000
1605024000000.0,12493997000
1605024060000.0,11615558000
1605024120000.0,13602007000
1605024180000.0,13270144000
1605024240000.0,12278616000
1605024300000.0,12145445000
1605024360000.0,12643859000
1605024420000.0,14107183000
1605024480000.0,13849780000
1605024540000.0,13298560000
1605024600000.0,13809270000
1605024660000.0,14104465000
1605024720000.0,13732751000
1605024780000.0,14023956000
1605024840000.0,12960840000
1605024900000.0,11257354000
1605024960000.0,12640774000
1605025020000.0,11940118000
1605025080000.0,12298424000
1605025140000.0,14981395000
1605025200000.0,15147687000
1605025260000.0,12338606000
1605025320000.0,12030115000
1605025380000.0,14497600000
1605025440000.0,13698659000
1605025500000.0,11119981000
1605025560000.0,11827497000
1605025620000.0,12600406000
1605025680000.0,10359097000
1605025740000.0,11490498000
1605025800000.0,12495141000
1605025860000.0,13066412000
1605025920000.0,12070948000
1605025980000.0,12668940000
1605026040000.0,11303219000
1605026100000.0,10385386000
1605026160000.0,11710919000
1605026220000.0,11737314000
1605026280000.0,12027532000
1605026340000.0,12015571000
1605026400000.0,11785919000
1605026460000.0,10771033000
1605026520000.0,10544039000
1605026580000.0,11713809000
1605026640000.0,11165741000
1605026700000.0,11419855000
1605026760000.0,10440737000
1605026820000.0,10377372000
1605026880000.0,9513486000
1605026940000.0,10823414000
1605027000000.0,12066289000
1605027060000.0,10879887000
1605027120000.0,10859303000
1605027180000.0,10640456000
1605027240000.0,11576058000
1605027300000.0,12662323000
1605027360000.0,11933607000
1605027420000.0,10942092000
1605027480000.0,11559170000
1605027540000.0,10701988000
1605027600000.0,11382323000
1605027660000.0,9129842000
1605027720000.0,7464158700
1605027780000.0,7408917500
1605027840000.0,7952550000
1605027900000.0,9219439000
1605027960000.0,9689269000
1605028020000.0,8578070500
1605028080000.0,8681380000
1605028140000.0,9152615000
1605028200000.0,10212627000
1605028260000.0,10376532000
1605028320000.0,11523245000
1605028380000.0,10805053000
1605028440000.0,10249034000
1605028500000.0,9095115000
1605028560000.0,8166400000
1605028620000.0,7387747300
1605028680000.0,7801152500
1605028740000.0,7462756000
1605028800000.0,8543641000
1605028860000.0,8506849000
1605028920000.0,10055633000
1605028980000.0,10823030000
1605029040000.0,9574111000
1605029100000.0,9504662000
1605029160000.0,7541804500
1605029220000.0,8632232000
1605029280000.0,8349954600
1605029340000.0,8234699300
1605029400000.0,7906822000
1605029460000.0,8055534000
1605029520000.0,7912195600
1605029580000.0,9273900000
1605029640000.0,9523813000
1605029700000.0,10427423000
1605029760000.0,10077722000
1605029820000.0,9005391000
1605029880000.0,8806866000
1605029940000.0,9286267000
1605030000000.0,10678922000
1605030120000.0,10379416000
1605030180000.0,9547946000
1605030240000.0,9497494000
1605030300000.0,9112472000
1605030360000.0,8765098000
1605030420000.0,9198810000
1605030480000.0,8387059000
1605030540000.0,7497014300
1605030600000.0,6818423000
1605030660000.0,7405576700
1605030720000.0,7491383000
1605030780000.0,6629115000
1605030840000.0,7354261500
1605030900000.0,7620281000
1605030960000.0,8905858000
1605031020000.0,9265573000
1605031080000.0,8868719000
1605031140000.0,8951826000
1605031200000.0,8975533000
1605031260000.0,8835451000
1605031320000.0,8096094700
1605031380000.0,7406211000
1605031440000.0,7812286500
1605031500000.0,7547741000
1605031560000.0,7510478000
1605031620000.0,5632405500
1605031680000.0,5704955400
1605031740000.0,7060338700
1605031800000.0,6448717000
1605031860000.0,6435565600
1605031920000.0,5897719000
1605031980000.0,7091988500
1605032040000.0,7089469400
1605032100000.0,6610141000
1605032220000.0,6603696000
1605032280000.0,6116952000
1605032340000.0,5892513300
1605032400000.0,5957185000
1605032460000.0,6541213700
1605032520000.0,5928250000
1605032580000.0,6018359300
1605032640000.0,7119008000
1605032700000.0,6844733400
