time_index,card.nic.bps.avg.r
1605018000000.0,13399657000
1605018060000.0,12200089000
1605018120000.0,11540527000
1605018180000.0,12117900000
1605018240000.0,12516502000
1605018300000.0,12266795000
1605018360000.0,12940257000
1605018420000.0,14453213000
1605018480000.0,13886191000
1605018540000.0,12375648000
1605018600000.0,12535917000
1605018660000.0,12093242000
1605018720000.0,12627970000
1605018780000.0,12403245000
1605018840000.0,12375157000
1605018900000.0,11532227000
1605018960000.0,14355797000
1605019020000.0,13102521000
1605019080000.0,14609710000
1605019140000.0,13514692000
1605019200000.0,13337716000
1605019260000.0,12387103000
1605019320000.0,11442415000
1605019380000.0,13123177000
1605019440000.0,12852222000
1605019500000.0,13038709000
1605019560000.0,13036311000
1605019620000.0,11945186000
1605019680000.0,12111009000
1605019740000.0,11767745000
1605019800000.0,12457920000
1605019860000.0,12682437000
1605019920000.0,12994158000
1605019980000.0,11373537000
1605020040000.0,10786579000
1605020100000.0,10888029000
1605020160000.0,11105356000
1605020220000.0,11526903000
1605020280000.0,11788650000
1605020340000.0,12289821000
1605020400000.0,10258590000
1605020460000.0,11881114000
1605020520000.0,11030089000
1605020580000.0,11418851000
1605020640000.0,11945071000
1605020700000.0,11625672000
1605020760000.0,11349782000
1605020820000.0,12047633000
1605020880000.0,13628371000
1605020940000.0,13657118000
1605021000000.0,11861102000
1605021060000.0,12349643000
1605021120000.0,11901254000
1605021180000.0,10679631000
1605021240000.0,12195858000
1605021300000.0,12912383000
1605021360000.0,13355942000
1605021420000.0,12462458000
1605021480000.0,12017068000
1605021540000.0,13089353000
1605021600000.0,12217789000
1605021660000.0,12093270000
1605021720000.0,12046425000
1605021780000.0,9958272000
1605021840000.0,11284333000
1605021900000.0,10951434000
1605021960000.0,12446182000
1605022020000.0,11687121000
1605022080000.0,12971187000
1605022140000.0,12403809000
1605022200000.0,12694581000
1605022260000.0,12316462000
1605022320000.0,10777910000
1605022380000.0,12242903000
1605022440000.0,11721494000
1605022500000.0,13360525000
1605022560000.0,13210876000
1605022620000.0,12109558000
1605022680000.0,12029691000
1605022740000.0,11944192000
1605022800000.0,12963962000
1605022860000.0,13708538000
1605022920000.0,13439485000
1605022980000.0,12741835000
1605023040000.0,11968474000
1605023100000.0,14450896000
1605023160000.0,13277101000
1605023220000.0,12387507000
1605023280000.0,11710930000
1605023340000.0,11835678000
1605023400000.0,10490288000
1605023460000.0,12733478000
1605023520000.0,13689313000
1605023580000.0,12705603000
1605023640000.0,12099565000
1605023700000.0,12705372000
1605023760000.0,12119276000
1605023820000.0,13632102000
1605023880000.0,12714267000
1605023940000.0,11602139000
