time_index,card.nic.pps.avg.t
1605018000000.0,537995
1605018060000.0,694987
1605018120000.0,716190
1605018180000.0,664646
1605018240000.0,874433
1605018300000.0,786251
1605018360000.0,744148
1605018420000.0,788279
1605018480000.0,816211
1605018540000.0,752312
1605018600000.0,800123
1605018660000.0,810648
1605018720000.0,842785
1605018780000.0,822573
1605018840000.0,693315
1605018900000.0,768243
1605018960000.0,884536
1605019020000.0,892611
1605019080000.0,894467
1605019140000.0,793775
1605019200000.0,840073
1605019260000.0,766975
1605019320000.0,726219
1605019380000.0,738836
1605019440000.0,774156
1605019500000.0,701354
1605019560000.0,736887
1605019620000.0,613872
1605019680000.0,712637
1605019740000.0,672598
1605019800000.0,710339
1605019860000.0,659784
1605019920000.0,916121
1605019980000.0,588413
1605020040000.0,655484
1605020100000.0,724984
1605020160000.0,650539
1605020220000.0,771747
1605020280000.0,685995
1605020340000.0,767300
1605020400000.0,759408
1605020460000.0,849987
1605020520000.0,742323
1605020580000.0,740405
1605020640000.0,660117
1605020700000.0,823760
1605020760000.0,757428
1605020820000.0,678710
1605020880000.0,650742
1605020940000.0,698240
1605021000000.0,717868
1605021060000.0,712884
1605021120000.0,848884
1605021180000.0,809933
1605021240000.0,703381
1605021300000.0,673052
1605021360000.0,706252
1605021420000.0,728863
1605021480000.0,626065
1605021540000.0,788816
1605021600000.0,617419
1605021660000.0,706996
1605021720000.0,738335
1605021780000.0,871351
1605021840000.0,742808
1605021900000.0,734026
1605021960000.0,670082
1605022020000.0,737143
1605022080000.0,710570
1605022140000.0,598352
1605022200000.0,617782
1605022260000.0,757592
1605022320000.0,742096
1605022380000.0,645410
1605022440000.0,763749
1605022500000.0,692557
1605022560000.0,684289
1605022620000.0,806719
1605022680000.0,685165
1605022740000.0,603316
1605022800000.0,567532
1605022860000.0,695468
1605022920000.0,684602
1605022980000.0,641452
1605023040000.0,659176
1605023100000.0,703621
1605023160000.0,799004
1605023220000.0,750669
1605023280000.0,807664
1605023340000.0,784461
1605023400000.0,703264
1605023460000.0,727212
1605023520000.0,736390
1605023580000.0,711758
1605023640000.0,697644
1605023700000.0,714950
1605023760000.0,661293
1605023820000.0,654789
1605023880000.0,737340
1605023940000.0,634900
1605024000000.0,623526
1605024060000.0,606179
1605024120000.0,508156
1605024180000.0,632935
1605024240000.0,639414
1605024300000.0,659177
1605024360000.0,521143
1605024420000.0,497777
1605024480000.0,560054
1605024540000.0,467507
1605024600000.0,514155
1605024660000.0,568177
1605024720000.0,662730
1605024780000.0,631777
1605024840000.0,620055
1605024900000.0,585735
1605024960000.0,605472
1605025020000.0,669134
1605025080000.0,501269
1605025140000.0,412199
1605025200000.0,402609
1605025260000.0,428163
1605025320000.0,516046
1605025380000.0,666340
1605025440000.0,553209
1605025500000.0,533389
1605025560000.0,571669
1605025620000.0,605560
1605025680000.0,402063
1605025740000.0,483414
1605025800000.0,593148
1605025860000.0,550123
1605025920000.0,484879
1605025980000.0,411499
1605026040000.0,551286
1605026100000.0,411688
1605026160000.0,483675
1605026220000.0,532778
1605026280000.0,618153
1605026340000.0,595534
1605026400000.0,526067
1605026460000.0,489555
1605026520000.0,435413
1605026580000.0,596481
1605026640000.0,494685
1605026700000.0,475322
1605026760000.0,483152
1605026820000.0,506278
1605026880000.0,577955
1605026940000.0,614268
1605027000000.0,455096
1605027060000.0,498619
1605027120000.0,566664
1605027180000.0,490087
1605027240000.0,554805
1605027300000.0,550339
1605027360000.0,597584
1605027420000.0,491252
1605027480000.0,446249
1605027540000.0,424813
1605027600000.0,407186
1605027660000.0,593452
1605027720000.0,441139
1605027780000.0,469725
1605027840000.0,331264
1605027900000.0,615878
1605027960000.0,654455
1605028020000.0,602256
1605028080000.0,511760
1605028140000.0,392109
1605028200000.0,479669
1605028260000.0,549214
1605028320000.0,639691
1605028380000.0,461337
1605028440000.0,418981
1605028500000.0,382202
1605028560000.0,343688
1605028620000.0,388312
1605028680000.0,360704
1605028740000.0,348483
1605028800000.0,318734
1605028860000.0,338767
1605028920000.0,307107
1605028980000.0,313258
1605029040000.0,338337
