time_index,card.nic.bps.avg.r
1605018000000.0,16621592000
1605018060000.0,16826124000
1605018120000.0,17031853000
1605018180000.0,17311138000
1605018240000.0,17514620000
1605018300000.0,18045413000
1605018360000.0,17481118000
1605018420000.0,15959943000
1605018480000.0,16827242000
1605018540000.0,17527093000
1605018600000.0,15943462000
1605018660000.0,17058529000
1605018720000.0,17484032000
1605018780000.0,16908886000
1605018840000.0,17240252000
1605018900000.0,19700541000
1605018960000.0,18772450000
1605019020000.0,19425343000
1605019080000.0,18307670000
1605019140000.0,18886832000
1605019200000.0,17351764000
1605019260000.0,16830762000
1605019320000.0,16279794000
1605019380000.0,15105270000
1605019440000.0,15311632000
1605019500000.0,15518046000
1605019560000.0,15867986000
1605019620000.0,15870472000
1605019680000.0,17041725000
1605019740000.0,16164207000
1605019800000.0,15091052000
1605019860000.0,14636159000
1605019920000.0,15430083000
1605019980000.0,13143538000
1605020040000.0,14063818000
1605020100000.0,13634718000
1605020160000.0,13727270000
1605020220000.0,11750995000
1605020280000.0,12076931000
1605020340000.0,11713217000
1605020400000.0,14163402000
1605020460000.0,12757977000
1605020520000.0,14042450000
1605020580000.0,14330449000
1605020640000.0,13186751000
1605020700000.0,14695240000
1605020760000.0,14561270000
1605020820000.0,12515054000
1605020880000.0,13463260000
1605020940000.0,14192858000
1605021000000.0,12846668000
1605021060000.0,15001083000
1605021120000.0,14648350000
1605021180000.0,13577091000
1605021240000.0,14896419000
1605021300000.0,14213197000
1605021360000.0,14873946000
1605021420000.0,13671624000
1605021480000.0,12553798000
1605021540000.0,12983175000
1605021600000.0,13077363000
1605021660000.0,13535164000
1605021720000.0,14676545000
1605021780000.0,15370248000
1605021840000.0,15066139000
1605021900000.0,15877067000
1605021960000.0,16919085000
1605022020000.0,16979937000
1605022080000.0,16905591000
1605022140000.0,14567566000
1605022200000.0,14308484000
1605022260000.0,14295310000
1605022320000.0,15450960000
1605022380000.0,16735566000
1605022440000.0,15830415000
1605022500000.0,16006027000
1605022560000.0,15319419000
1605022620000.0,15690117000
1605022680000.0,13866299000
1605022740000.0,14675132000
1605022800000.0,15335918000
1605022860000.0,13653040000
1605022920000.0,14640863000
1605022980000.0,13783422000
1605023040000.0,14485054000
1605023100000.0,14960774000
1605023160000.0,13804361000
1605023220000.0,15406858000
1605023280000.0,15093197000
1605023340000.0,13256576000
1605023400000.0,13237309000
1605023460000.0,12830968000
1605023520000.0,12757569000
1605023580000.0,13835014000
1605023640000.0,11381998000
1605023700000.0,12992654000
1605023760000.0,13161965000
1605023820000.0,12563283000
1605023880000.0,13304278000
1605023940000.0,13185832000
1605024000000.0,14079152000
1605024060000.0,14603158000
1605024120000.0,14692700000
1605024180000.0,15517643000
1605024240000.0,14618409000
1605024300000.0,13922012000
1605024360000.0,15494236000
1605024420000.0,14685383000
1605024480000.0,15816188000
1605024540000.0,16496042000
1605024600000.0,14451315000
1605024660000.0,13884441000
1605024720000.0,13373141000
1605024780000.0,13315362000
1605024840000.0,13864359000
1605024900000.0,13625252000
1605024960000.0,12977649000
1605025020000.0,14965790000
1605025080000.0,14712046000
1605025140000.0,15836914000
1605025200000.0,15379184000
1605025260000.0,13463425000
1605025320000.0,14470238000
1605025380000.0,13209196000
1605025440000.0,13853274000
1605025500000.0,14551525000
1605025560000.0,13701492000
1605025620000.0,15589148000
1605025680000.0,17565352000
1605025740000.0,15392358000
1605025800000.0,13779202000
1605025860000.0,13267321000
1605025920000.0,12963835000
1605025980000.0,13511144000
1605026040000.0,13815191000
1605026100000.0,13954888000
1605026160000.0,13036313000
1605026220000.0,13059610000
1605026280000.0,14205415000
1605026340000.0,13214421000
1605026400000.0,13434062000
1605026460000.0,13242147000
1605026520000.0,11137770000
1605026580000.0,11685728000
1605026640000.0,11638896000
1605026700000.0,12857045000
1605026760000.0,14393727000
1605026820000.0,14603360000
1605026880000.0,14316893000
1605026940000.0,13753162000
1605027000000.0,13563002000
1605027060000.0,13575126000
1605027120000.0,14130026000
1605027180000.0,12671827000
1605027240000.0,11952846000
1605027300000.0,12781193000
1605027360000.0,13407643000
1605027420000.0,10386893000
1605027480000.0,10313916000
1605027540000.0,9576401000
1605027600000.0,9307117000
1605027660000.0,9086508000
1605027720000.0,9494029000
1605027780000.0,11068727000
1605027840000.0,10054121000
1605027900000.0,11452742000
1605027960000.0,12260835000
1605028020000.0,11095645000
1605028080000.0,11593912000
1605028140000.0,11388387000
1605028200000.0,11556002000
1605028260000.0,12269343000
1605028320000.0,11101418000
1605028380000.0,11884818000
1605028440000.0,11244525000
1605028500000.0,11641859000
1605028560000.0,12618522000
1605028620000.0,12729131000
1605028680000.0,12158505000
1605028740000.0,11273517000
1605028800000.0,10749183000
1605028860000.0,9898469000
1605028920000.0,8563256300
1605028980000.0,10073163000
1605029040000.0,10280643000
1605029100000.0,10593199000
1605029160000.0,10893531000
1605029220000.0,10250080000
1605029280000.0,9898373000
1605029340000.0,10482142000
1605029400000.0,9622617000
1605029460000.0,9334888000
1605029520000.0,9606897000
1605029580000.0,10587034000
1605029640000.0,10567682000
1605029700000.0,10288744000
1605029760000.0,10697728000
1605029820000.0,9972678000
1605029880000.0,9481775000
1605029940000.0,9551827000
1605030000000.0,9982446000
1605030060000.0,9026975000
1605030120000.0,10088373000
1605030180000.0,8081714700
1605030240000.0,8140243000
1605030300000.0,8267830300
1605030360000.0,9227307000
1605030420000.0,8418961400
1605030480000.0,9180674000
1605030540000.0,9015530000
1605030600000.0,8649688000
1605030660000.0,7728150000
1605030720000.0,7817332700
1605030780000.0,9136471000
1605030840000.0,8573710000
1605030900000.0,8490820600
1605030960000.0,8767314000
1605031020000.0,8816937000
1605031080000.0,7720584700
1605031140000.0,7637254700
1605031200000.0,7511126000
1605031260000.0,8897994000
1605031320000.0,7366275000
1605031380000.0,8085385000
1605031440000.0,7502566400
1605031500000.0,7231528000
