time_index,card.nic.bps.avg.r
1605018000000.0,888634700
1605018060000.0,882900030
1605018120000.0,877917800
1605018180000.0,1418441000
1605018240000.0,996225900
1605018300000.0,1219051500
1605018360000.0,889255400
1605018420000.0,887075140
1605018480000.0,882232640
1605018540000.0,894738050
1605018600000.0,885489150
1605018660000.0,880139600
1605018720000.0,884181600
1605018780000.0,893960800
1605018840000.0,918342460
1605018900000.0,888041800
1605018960000.0,880062660
1605019020000.0,856589900
1605019080000.0,885408400
1605019140000.0,890065800
1605019200000.0,878027400
1605019260000.0,887510850
1605019320000.0,971117760
1605019380000.0,1211932400
1605019440000.0,889733600
1605019500000.0,888666700
1605019560000.0,879612600
1605019620000.0,887326900
1605019680000.0,1297884000
1605019740000.0,889194600
1605019800000.0,904037570
1605019860000.0,882313660
1605019920000.0,891766500
1605019980000.0,883391740
1605020040000.0,873916600
1605020100000.0,879869200
1605020160000.0,886513340
1605020220000.0,883417600
1605020280000.0,891904900
1605020340000.0,875444300
1605020400000.0,884956200
1605020460000.0,2973286400
1605020520000.0,3591831800
1605020580000.0,3522697200
1605020640000.0,5627564500
1605020700000.0,4798795300
1605020760000.0,4527077400
1605020820000.0,4604416500
1605020880000.0,4508897300
1605020940000.0,4581298000
1605021000000.0,4351526000
1605021060000.0,4263092200
1605021120000.0,4149614300
1605021180000.0,4109937000
1605021240000.0,4134688800
1605021300000.0,4135437300
1605021360000.0,4111729200
1605021420000.0,4103867000
1605021480000.0,4029084700
1605021540000.0,4149052400
1605021600000.0,4028795000
1605021660000.0,4044990500
1605021720000.0,4038108700
1605021780000.0,4038032100
1605021840000.0,4019487200
1605021900000.0,4027425300
1605021960000.0,4021249500
1605022020000.0,4019272700
1605022080000.0,2657259500
1605022140000.0,2459330000
1605022200000.0,2826121500
1605022260000.0,2462183700
1605022320000.0,2453951200
1605022380000.0,2458536000
1605022440000.0,2539728100
1605022500000.0,2459633400
1605022560000.0,2442187000
1605022620000.0,2461994500
1605022680000.0,2516438500
1605022740000.0,2454781200
1605022800000.0,2447688000
1605022860000.0,3185533000
1605022920000.0,2445021700
1605022980000.0,2460473000
1605023040000.0,2541271000
1605023100000.0,2458507300
1605023160000.0,2452201700
1605023220000.0,2456230000
1605023280000.0,2452765200
1605023340000.0,1041038900
1605023400000.0,764921700
1605023460000.0,787208900
1605023520000.0,854852000
1605023580000.0,888417540
1605023640000.0,877153860
1605023700000.0,883817540
1605023760000.0,884340600
1605023820000.0,884088200
1605023880000.0,891149250
1605023940000.0,883501500
1605024000000.0,2339648300
1605024060000.0,3271644400
1605024120000.0,5543036400
1605024180000.0,5893689000
1605024240000.0,5896321000
1605024300000.0,5921182700
1605024360000.0,5946111000
1605024420000.0,5907559400
1605024480000.0,5909290000
1605024540000.0,5945329700
1605024600000.0,5919361000
1605024660000.0,5918769700
1605024720000.0,5901323300
1605024780000.0,5929511000
1605024840000.0,4476200000
1605024900000.0,4108827100
1605024960000.0,2561524500
1605025020000.0,1507697300
1605025080000.0,872251800
1605025140000.0,898715260
1605025200000.0,890552060
1605025260000.0,878428500
1605025320000.0,901506560
1605025380000.0,915482050
