time_index,card.nic.bps.avg.r
1605018000000.0,14128073000
1605018060000.0,14004187000
1605018120000.0,13169489000
1605018180000.0,12718953000
1605018240000.0,13203535000
1605018300000.0,12851347000
1605018360000.0,13222038000
1605018420000.0,12403436000
1605018480000.0,12264053000
1605018540000.0,13135831000
1605018600000.0,13639705000
1605018660000.0,12998187000
1605018720000.0,14246655000
1605018780000.0,13189549000
1605018840000.0,13737532000
1605018900000.0,13618973000
1605018960000.0,14541862000
1605019020000.0,14584162000
1605019080000.0,14047624000
1605019140000.0,13388963000
1605019200000.0,13833297000
1605019260000.0,14904267000
1605019320000.0,14697618000
1605019380000.0,15236595000
1605019440000.0,16846277000
1605019500000.0,15178797000
1605019560000.0,14284067000
1605019620000.0,14527157000
1605019680000.0,14491197000
1605019740000.0,13797575000
1605019800000.0,12609812000
1605019860000.0,12300945000
1605019920000.0,12603057000
1605019980000.0,12286596000
1605020040000.0,14756563000
1605020100000.0,13476229000
1605020160000.0,12842835000
1605020220000.0,13581883000
1605020280000.0,12545690000
1605020340000.0,12524679000
1605020400000.0,11629757000
1605020460000.0,12083161000
1605020520000.0,11372763000
1605020580000.0,12541088000
1605020640000.0,12948142000
1605020700000.0,13478160000
1605020760000.0,12721572000
1605020820000.0,12732177000
1605020880000.0,13300358000
1605020940000.0,11579500000
1605021000000.0,12866925000
1605021060000.0,12464781000
1605021120000.0,12573086000
1605021180000.0,12301727000
1605021240000.0,11571586000
1605021300000.0,13034348000
1605021360000.0,12348459000
1605021420000.0,11031693000
1605021480000.0,10766205000
1605021540000.0,10467543000
1605021600000.0,10798066000
1605021660000.0,11053743000
1605021720000.0,13007047000
1605021780000.0,12519695000
1605021840000.0,11714370000
1605021900000.0,10693249000
1605021960000.0,10401544000
1605022020000.0,10945977000
1605022080000.0,11994188000
1605022140000.0,10588404000
1605022200000.0,12280219000
1605022260000.0,11856680000
1605022320000.0,11452783000
1605022380000.0,11903815000
1605022440000.0,13038689000
1605022500000.0,11854791000
1605022560000.0,11024891000
1605022620000.0,11470045000
1605022680000.0,11674608000
1605022740000.0,11669699000
1605022800000.0,11509295000
1605022860000.0,9803489000
1605022920000.0,11384561000
1605022980000.0,12325153000
1605023040000.0,11765679000
1605023100000.0,10925013000
1605023160000.0,10540641000
1605023220000.0,10053429000
1605023280000.0,11737771000
1605023340000.0,11145891000
1605023400000.0,10063135000
1605023460000.0,10769383000
1605023520000.0,10964442000
1605023580000.0,9089833000
1605023640000.0,9542045000
1605023700000.0,9778509000
1605023760000.0,8902113000
1605023820000.0,10654112000
1605023880000.0,11541858000
1605023940000.0,10544101000
1605024000000.0,11374873000
1605024060000.0,11714285000
1605024120000.0,11419779000
1605024180000.0,9898053000
1605024240000.0,10002373000
1605024300000.0,10712938000
1605024360000.0,10619150000
1605024420000.0,9953884000
1605024480000.0,12773798000
1605024540000.0,12775101000
1605024600000.0,13686908000
1605024660000.0,14213929000
1605024720000.0,13995498000
1605024780000.0,13629651000
