time_index,card.nic.pps.avg.t
1605018000000.0,409529
1605018060000.0,531509
1605018120000.0,527784
1605018180000.0,508536
1605018240000.0,451869
1605018300000.0,415424
1605018360000.0,521011
1605018420000.0,520763
1605018480000.0,533266
1605018540000.0,513575
1605018600000.0,511666
1605018660000.0,503175
1605018720000.0,93451
1605018780000.0,2494
1605018840000.0,2493
1605018900000.0,2568
1605018960000.0,2568
1605019020000.0,2523
1605019080000.0,2566
1605019140000.0,2506
1605019200000.0,2570
1605019260000.0,2623
1605019320000.0,2523
1605019380000.0,2532
1605019440000.0,2595
1605019500000.0,2546
1605019560000.0,2585
1605019620000.0,2489
1605019680000.0,2485
1605019740000.0,2501
1605019800000.0,2552
1605019860000.0,2581
1605019920000.0,2551
1605019980000.0,2507
1605020040000.0,2504
1605020100000.0,2560
1605020160000.0,2583
1605020220000.0,2502
1605020280000.0,2471
1605020340000.0,2492
1605020400000.0,3463
1605020460000.0,2856
1605020520000.0,2605
1605020580000.0,2505
1605020640000.0,2486
1605020700000.0,2555
1605020760000.0,2603
1605020820000.0,2539
1605020880000.0,2481
1605020940000.0,2498
1605021000000.0,2608
1605021060000.0,2635
1605021120000.0,2568
1605021180000.0,2521
1605021240000.0,2547
1605021300000.0,2653
1605021360000.0,2606
1605021420000.0,2502
1605021480000.0,2502
1605021540000.0,2610
1605021600000.0,2594
1605021660000.0,2621
1605021720000.0,2521
1605021780000.0,2530
1605021840000.0,2466
1605021900000.0,2531
1605021960000.0,2615
1605022020000.0,2505
1605022080000.0,2512
1605022140000.0,2529
1605022200000.0,2577
1605022260000.0,2647
1605022320000.0,2627
1605022380000.0,2507
1605022440000.0,2473
1605022500000.0,2554
1605022560000.0,2573
1605022620000.0,2515
1605022680000.0,2514
1605022740000.0,2544
1605022800000.0,2574
1605022860000.0,2618
1605022920000.0,2590
1605022980000.0,2525
1605023040000.0,2595
1605023100000.0,2530
1605023160000.0,2576
1605023220000.0,2499
1605023280000.0,2508
1605023340000.0,2530
1605023400000.0,2604
1605023460000.0,2688
1605023520000.0,2512
1605023580000.0,2543
1605023640000.0,2512
1605023700000.0,2584
1605023760000.0,2634
1605023820000.0,2559
1605023880000.0,2513
1605023940000.0,2523
1605024000000.0,4520
1605024060000.0,6326
1605024120000.0,4294
1605024180000.0,2939
1605024240000.0,2497
1605024300000.0,2560
1605024360000.0,2605
1605024420000.0,2540
1605024480000.0,2498
1605024540000.0,2522
1605024600000.0,2568
1605024660000.0,2662
1605024720000.0,2547
1605024780000.0,2540
1605024840000.0,2741
1605024900000.0,2652
1605024960000.0,2632
1605025020000.0,2598
1605025080000.0,2535
1605025140000.0,2556
1605025200000.0,2536
1605025260000.0,2549
1605025320000.0,2479
1605025380000.0,2488
1605025440000.0,2507
1605025500000.0,2558
1605025560000.0,2639
1605025620000.0,2574
1605025680000.0,2488
1605025740000.0,2495
1605025800000.0,2560
1605025860000.0,2595
1605025920000.0,2589
1605025980000.0,2541
1605026040000.0,2505
1605026100000.0,2554
1605026160000.0,2612
1605026220000.0,2511
1605026280000.0,2501
1605026340000.0,2540
1605026400000.0,3220
1605026460000.0,3503
1605026520000.0,3229
1605026580000.0,2679
1605026640000.0,2620
1605026700000.0,2563
1605026760000.0,2608
1605026820000.0,2495
1605026880000.0,2486
1605026940000.0,2483
1605027000000.0,2554
1605027060000.0,2613
1605027120000.0,2553
1605027180000.0,2520
1605027240000.0,2564
1605027300000.0,2637
1605027360000.0,2608
1605027420000.0,2546
1605027480000.0,2462
1605027540000.0,2528
1605027600000.0,3418
1605027660000.0,3459
1605027720000.0,2848
1605027780000.0,2532
1605027840000.0,2515
1605027900000.0,2549
1605027960000.0,2634
1605028020000.0,2527
1605028080000.0,2471
1605028140000.0,2532
1605028200000.0,81649
1605028260000.0,362851
1605028320000.0,319506
1605028380000.0,180194
1605028440000.0,122294
1605028500000.0,122479
1605028560000.0,155787
1605028620000.0,178583
1605028680000.0,146045
1605028740000.0,101134
1605028800000.0,143343
1605028860000.0,81248
1605028920000.0,71690
1605028980000.0,74988
1605029040000.0,81215
1605029100000.0,167450
1605029160000.0,254186
1605029220000.0,265745
1605029280000.0,234936
1605029340000.0,313802
1605029400000.0,364770
1605029460000.0,249504
1605029520000.0,314982
1605029580000.0,350444
1605029640000.0,332109
1605029700000.0,456991
1605029760000.0,405981
1605029820000.0,326311
1605029880000.0,443965
1605029940000.0,522395
1605030000000.0,531919
1605030060000.0,531121
1605030120000.0,529853
1605030180000.0,521114
1605030240000.0,511229
1605030300000.0,510885
1605030360000.0,391617
1605030420000.0,50863
1605030480000.0,2535
1605030540000.0,2513
1605030600000.0,2554
1605030660000.0,2592
1605030720000.0,2505
1605030780000.0,2489
1605030840000.0,2484
1605030900000.0,2530
1605030960000.0,2576
1605031020000.0,2502
1605031080000.0,2495
1605031140000.0,2533
1605031200000.0,3196
1605031260000.0,2967
1605031320000.0,2665
1605031380000.0,2511
1605031440000.0,2515
1605031500000.0,2580
1605031560000.0,2681
1605031620000.0,2593
1605031680000.0,2497
1605031740000.0,2504
1605031800000.0,2542
1605031860000.0,2811
1605031920000.0,2580
1605031980000.0,2570
1605032040000.0,2783
1605032100000.0,2595
1605032160000.0,2603
1605032220000.0,2569
1605032280000.0,2498
1605032340000.0,2502
1605032400000.0,2534
1605032460000.0,2571
1605032520000.0,2483
1605032580000.0,2525
1605032640000.0,2502
1605032700000.0,2525
1605032760000.0,2570
1605032820000.0,2492
1605032880000.0,2498
1605032940000.0,2492
1605033000000.0,2568
1605033060000.0,2620
1605033120000.0,2607
1605033180000.0,2529
1605033240000.0,2502
1605033300000.0,2566
1605033360000.0,2616
1605033420000.0,2484
1605033480000.0,2519
1605033540000.0,2582
1605033600000.0,2570
1605033660000.0,2629
1605033720000.0,2588
1605033780000.0,2572
1605033840000.0,2585
1605033900000.0,2589
1605033960000.0,2574
1605034020000.0,2498
1605034080000.0,2493
1605034140000.0,2681
1605034200000.0,2597
1605034260000.0,2586
1605034320000.0,2520
1605034380000.0,2510
1605034440000.0,2470
1605034500000.0,2518
1605034560000.0,2610
1605034620000.0,2514
1605034680000.0,2483
1605034740000.0,2506
1605034800000.0,3800
1605034860000.0,2848
1605034920000.0,2609
1605034980000.0,2482
1605035040000.0,2464
1605035160000.0,2566
1605035220000.0,2510
1605035280000.0,2542
1605035340000.0,2515
1605035400000.0,2602
1605035460000.0,3083
1605035520000.0,2531
1605035580000.0,2536
1605035640000.0,2540
1605035700000.0,2628
1605035760000.0,2569
1605035820000.0,2549
1605035880000.0,2554
1605036000000.0,2616
1605036060000.0,2603
1605036120000.0,2499
1605036180000.0,2476
1605036240000.0,2471
1605036360000.0,2582
1605036420000.0,2498
1605036480000.0,2511
1605036540000.0,2505
1605036600000.0,323351
1605036660000.0,323940
1605036720000.0,322218
1605036780000.0,55855
1605036840000.0,2501
1605036900000.0,2542
1605036960000.0,2632
1605037020000.0,2523
1605037140000.0,2522
1605037200000.0,2565
1605037260000.0,2608
1605037320000.0,2514
1605037380000.0,2645
1605037440000.0,2612
1605037500000.0,2778
1605037560000.0,2586
1605037620000.0,17853
1605037680000.0,26489
1605037740000.0,68683
1605037860000.0,69215
1605037920000.0,41359
1605037980000.0,66607
1605038040000.0,214335
1605038160000.0,459346
1605038280000.0,447286
1605038340000.0,423741
1605038400000.0,228464
1605038460000.0,208077
1605038520000.0,79780
1605038580000.0,101692
1605038640000.0,68613
1605038700000.0,110028
1605038760000.0,73847
1605038820000.0,233012
1605038880000.0,212315
1605038940000.0,200722
1605039000000.0,167536
1605039060000.0,251051
1605039120000.0,262340
1605039180000.0,230032
1605039240000.0,64700
1605039300000.0,70032
1605039360000.0,86049
1605039420000.0,197348
1605039480000.0,350413
1605039540000.0,522931
1605039660000.0,508499
1605039780000.0,535163
1605039840000.0,523152
1605039900000.0,415205
1605039960000.0,324601
1605040020000.0,56243
1605040080000.0,2468
1605040140000.0,2504
1605040200000.0,2596
1605040260000.0,2766
1605040320000.0,2611
1605040380000.0,2490
1605040440000.0,2467
1605040500000.0,2516
1605040560000.0,2673
1605040620000.0,2510
1605040680000.0,2487
1605040740000.0,2504
1605040860000.0,2593
