time_index,card.nic.bps.avg.r
1605018000000.0,15970041000
1605018060000.0,15586369000
1605018120000.0,16586917000
1605018180000.0,17047364000
1605018240000.0,17446527000
1605018300000.0,17612173000
1605018360000.0,17517947000
1605018420000.0,17461404000
1605018480000.0,15959693000
1605018540000.0,17577340000
1605018600000.0,17709900000
1605018660000.0,17668485000
1605018720000.0,17655982000
1605018780000.0,17632797000
1605018840000.0,17341264000
1605018900000.0,16981101000
1605018960000.0,17766568000
1605019020000.0,17679751000
1605019080000.0,17590030000
1605019140000.0,17621012000
1605019200000.0,17692050000
1605019260000.0,17675129000
1605019320000.0,17711985000
1605019380000.0,17753821000
1605019440000.0,17516413000
1605019500000.0,17697888000
1605019560000.0,17357425000
1605019620000.0,16911997000
1605019680000.0,17564500000
1605019740000.0,17071434000
1605019800000.0,17498059000
1605019860000.0,17512786000
1605019920000.0,17620382000
1605019980000.0,17653076000
1605020040000.0,17609175000
1605020100000.0,17577918000
1605020160000.0,17474070000
1605020220000.0,17636815000
1605020280000.0,16470731000
1605020340000.0,15965002000
1605020400000.0,16109742000
1605020460000.0,17304801000
1605020520000.0,16062591000
1605020580000.0,16964325000
1605020640000.0,16230790000
1605020700000.0,16483949000
1605020760000.0,16306658000
1605020820000.0,16127669000
1605020880000.0,14824706000
1605020940000.0,16591563000
1605021000000.0,17445982000
1605021060000.0,17086561000
1605021120000.0,17478836000
1605021180000.0,17160832000
1605021240000.0,16967710000
1605021300000.0,16195459000
1605021360000.0,17233340000
1605021420000.0,15498112000
1605021480000.0,15035296000
1605021540000.0,13905394000
1605021600000.0,13688235000
1605021660000.0,14033457000
1605021720000.0,16339638000
1605021780000.0,14817753000
1605021840000.0,14182530000
1605021900000.0,14136805000
1605021960000.0,12803214000
1605022020000.0,13404467000
1605022080000.0,12051443000
1605022140000.0,13523414000
1605022200000.0,13479602000
1605022260000.0,14325108000
1605022320000.0,13824331000
1605022380000.0,13906487000
1605022440000.0,15360292000
1605022500000.0,16106159000
1605022560000.0,15437641000
1605022620000.0,16147271000
1605022680000.0,17148730000
1605022740000.0,15305796000
1605022800000.0,15674532000
1605022860000.0,16242113000
1605022920000.0,14879943000
1605022980000.0,15517011000
1605023040000.0,16080342000
1605023100000.0,14475842000
1605023160000.0,14865426000
1605023220000.0,15285890000
1605023280000.0,16087244000
1605023340000.0,16287519000
1605023400000.0,17227436000
1605023460000.0,17347658000
1605023520000.0,15604092000
1605023580000.0,15443575000
1605023640000.0,15724859000
1605023700000.0,15926053000
1605023760000.0,14971178000
1605023820000.0,14151430000
1605023880000.0,15441005000
1605023940000.0,15481653000
1605024000000.0,14640989000
1605024060000.0,14447076000
1605024120000.0,15020452000
1605024180000.0,17355661000
1605024240000.0,17257007000
1605024300000.0,17355487000
1605024360000.0,14287995000
1605024420000.0,14428514000
1605024480000.0,14562866000
1605024540000.0,14603516000
1605024600000.0,15109937000
1605024660000.0,13476642000
1605024720000.0,12510298000
1605024780000.0,13439503000
