time_index,card.nic.pps.avg.t
1605018000000.0,901939
1605018060000.0,841719
1605018120000.0,713938
1605018180000.0,760438
1605018240000.0,988707
1605018300000.0,898453
1605018360000.0,836233
1605018420000.0,879426
1605018480000.0,897661
1605018540000.0,712380
1605018600000.0,738849
1605018660000.0,724756
1605018720000.0,751089
1605018780000.0,721054
1605018840000.0,780678
1605018900000.0,636670
1605018960000.0,706783
1605019020000.0,857817
1605019080000.0,855456
1605019140000.0,864593
1605019200000.0,769599
1605019260000.0,698236
1605019320000.0,597738
1605019380000.0,620131
1605019440000.0,632770
1605019500000.0,661566
1605019560000.0,767929
1605019620000.0,696192
1605019680000.0,970843
1605019740000.0,841667
1605019800000.0,827478
1605019860000.0,877872
1605019920000.0,932963
1605019980000.0,788395
1605020040000.0,696915
1605020100000.0,689831
1605020160000.0,757452
1605020220000.0,750006
1605020280000.0,656177
1605020340000.0,629563
1605020400000.0,682612
1605020460000.0,669187
1605020520000.0,739556
1605020580000.0,640968
1605020640000.0,634174
1605020700000.0,831098
1605020760000.0,696365
1605020820000.0,712482
1605020880000.0,802343
1605020940000.0,824984
1605021000000.0,957822
1605021060000.0,878902
1605021120000.0,815437
1605021180000.0,672932
1605021240000.0,792643
1605021300000.0,790651
1605021360000.0,926211
1605021420000.0,829667
1605021480000.0,804798
1605021540000.0,852430
1605021600000.0,685476
1605021660000.0,859334
1605021720000.0,866391
1605021780000.0,659735
1605021840000.0,626025
1605021900000.0,662074
1605021960000.0,784659
1605022020000.0,790958
1605022080000.0,719849
1605022140000.0,694948
1605022200000.0,678426
1605022260000.0,593784
1605022320000.0,678061
1605022380000.0,712478
1605022440000.0,706770
1605022500000.0,768153
1605022560000.0,766919
1605022620000.0,646933
1605022680000.0,706470
1605022740000.0,729604
1605022800000.0,847871
1605022860000.0,807692
1605022920000.0,739443
1605022980000.0,727588
1605023040000.0,779137
1605023100000.0,615852
1605023160000.0,574502
1605023220000.0,609989
1605023280000.0,568037
1605023340000.0,644388
1605023400000.0,683615
1605023460000.0,824147
1605023520000.0,773464
1605023580000.0,835337
1605023640000.0,764309
1605023700000.0,626694
1605023760000.0,801317
1605023820000.0,497057
1605023880000.0,484322
1605023940000.0,538430
1605024000000.0,573505
1605024060000.0,614942
1605024120000.0,641369
1605024180000.0,656950
1605024240000.0,535074
1605024300000.0,673773
1605024360000.0,636351
1605024420000.0,603502
1605024480000.0,724586
1605024540000.0,655931
1605024600000.0,747334
1605024660000.0,670437
1605024720000.0,626477
1605024780000.0,643279
1605024840000.0,822058
1605024900000.0,757308
1605024960000.0,681804
1605025020000.0,578289
1605025080000.0,561553
1605025140000.0,613312
1605025200000.0,654299
1605025260000.0,613740
1605025320000.0,506714
1605025380000.0,570484
1605025440000.0,549582
1605025500000.0,572693
1605025560000.0,570089
1605025620000.0,698229
1605025680000.0,678249
1605025740000.0,449245
1605025800000.0,439824
1605025860000.0,541387
1605025920000.0,445117
1605025980000.0,634798
1605026040000.0,619366
1605026100000.0,511298
1605026160000.0,465356
1605026220000.0,488445
1605026280000.0,546206
1605026340000.0,469466
1605026400000.0,566914
1605026460000.0,592860
1605026520000.0,522157
1605026580000.0,488815
1605026640000.0,459192
1605026700000.0,462774
1605026760000.0,600546
1605026820000.0,508987
1605026880000.0,432161
1605026940000.0,530829
1605027000000.0,438128
1605027060000.0,444643
1605027120000.0,507390
