time_index,card.nic.bps.avg.r
1605018000000.0,17299923000
1605018060000.0,15286571000
1605018120000.0,15857000000
1605018180000.0,17326174000
1605018240000.0,17006879000
1605018300000.0,18561382000
1605018360000.0,18910228000
1605018420000.0,17490209000
1605018480000.0,17213235000
1605018540000.0,16505656000
1605018600000.0,17416020000
1605018660000.0,16671207000
1605018720000.0,17902375000
1605018780000.0,17358070000
1605018840000.0,17453920000
1605018900000.0,16203688000
1605018960000.0,16887895000
1605019020000.0,16027769000
1605019080000.0,19100185000
1605019140000.0,18367576000
1605019200000.0,17000098000
1605019260000.0,14654242000
1605019320000.0,15733415000
1605019380000.0,16395378000
1605019440000.0,17308774000
1605019500000.0,18113032000
1605019560000.0,16980261000
1605019620000.0,17595089000
1605019680000.0,16873892000
1605019740000.0,17735336000
1605019800000.0,16322456000
1605019860000.0,17116274000
1605019920000.0,16449273000
1605019980000.0,17211554000
1605020040000.0,17284570000
1605020100000.0,15765797000
1605020160000.0,18152532000
1605020220000.0,16810614000
1605020280000.0,16321311000
1605020340000.0,15081685000
1605020400000.0,14518258000
1605020460000.0,13184406000
1605020520000.0,13043353000
1605020580000.0,14445889000
1605020640000.0,14660514000
1605020700000.0,16748900000
1605020760000.0,14523828000
1605020820000.0,15042131000
1605020880000.0,14451441000
1605020940000.0,14860646000
1605021000000.0,14514117000
1605021060000.0,15882137000
1605021120000.0,14173203000
1605021180000.0,12752090000
1605021240000.0,12962090000
1605021300000.0,12641786000
1605021360000.0,13683199000
1605021420000.0,12729825000
1605021480000.0,12378571000
1605021540000.0,11501906000
1605021600000.0,13080600000
1605021660000.0,12754182000
1605021720000.0,13027454000
1605021780000.0,14465985000
1605021840000.0,14557471000
1605021900000.0,15699253000
1605021960000.0,14894346000
1605022020000.0,14299500000
1605022080000.0,13375257000
1605022140000.0,12237744000
1605022200000.0,11524444000
1605022260000.0,12398922000
1605022320000.0,16279929000
1605022380000.0,15930730000
1605022440000.0,15071643000
1605022500000.0,15494273000
1605022560000.0,14125656000
1605022620000.0,14025210000
1605022680000.0,13641597000
1605022740000.0,13444010000
1605022800000.0,14719996000
1605022860000.0,13889460000
1605022920000.0,15034741000
1605022980000.0,14813245000
1605023040000.0,14556559000
1605023100000.0,14743382000
1605023160000.0,16153893000
1605023220000.0,16185925000
1605023280000.0,14673904000
1605023340000.0,16545321000
1605023400000.0,16345806000
1605023460000.0,15985388000
1605023520000.0,15662080000
1605023580000.0,16913552000
1605023640000.0,15518831000
1605023700000.0,14973565000
