time_index,card.nic.pps.avg.t
1605018000000.0,856437
1605018060000.0,741890
1605018120000.0,888286
1605018180000.0,776189
1605018240000.0,801440
1605018300000.0,766138
1605018360000.0,993467
1605018420000.0,779422
1605018480000.0,764205
1605018540000.0,706558
1605018600000.0,745171
1605018660000.0,694041
1605018720000.0,753114
1605018780000.0,781511
1605018840000.0,687299
1605018900000.0,640285
1605018960000.0,823839
1605019020000.0,837472
1605019080000.0,761728
1605019140000.0,721768
1605019200000.0,695248
1605019260000.0,804533
1605019320000.0,782670
1605019380000.0,765364
1605019440000.0,751902
1605019500000.0,843766
1605019560000.0,775046
1605019620000.0,832596
1605019680000.0,884863
1605019740000.0,830059
1605019800000.0,682250
1605019860000.0,663339
1605019920000.0,827794
1605019980000.0,721760
1605020040000.0,739829
1605020100000.0,795379
1605020160000.0,873744
1605020220000.0,555234
1605020280000.0,780727
1605020340000.0,756411
1605020400000.0,682898
1605020460000.0,868869
1605020520000.0,697696
1605020580000.0,666156
1605020640000.0,829472
1605020700000.0,824424
1605020760000.0,846663
1605020820000.0,814715
1605020880000.0,785782
1605020940000.0,691816
1605021000000.0,723349
1605021060000.0,646116
1605021120000.0,684342
1605021180000.0,734003
1605021240000.0,661387
1605021300000.0,624090
1605021360000.0,542204
1605021420000.0,816981
1605021480000.0,633503
1605021540000.0,706670
1605021600000.0,735242
1605021660000.0,707175
1605021720000.0,750140
1605021780000.0,831720
1605021840000.0,672607
1605021900000.0,678744
1605021960000.0,492509
1605022020000.0,752525
1605022080000.0,757739
1605022140000.0,672656
1605022200000.0,705496
1605022260000.0,664832
1605022320000.0,699123
1605022380000.0,676272
1605022440000.0,608063
1605022500000.0,700323
1605022560000.0,700840
1605022620000.0,811301
1605022680000.0,667090
1605022740000.0,636220
1605022800000.0,538527
1605022860000.0,613763
1605022920000.0,550870
1605022980000.0,391120
1605023040000.0,529094
1605023100000.0,731562
1605023160000.0,638772
1605023220000.0,764217
1605023280000.0,792034
1605023340000.0,522611
1605023400000.0,711094
1605023460000.0,723958
1605023520000.0,688583
1605023580000.0,687276
1605023640000.0,535574
1605023700000.0,602542
1605023760000.0,670284
1605023820000.0,662874
1605023880000.0,752518
1605023940000.0,661557
1605024000000.0,576813
1605024060000.0,531690
1605024120000.0,581589
1605024180000.0,617659
1605024240000.0,598381
1605024300000.0,509712
1605024360000.0,526668
1605024420000.0,528672
1605024480000.0,566393
1605024540000.0,490035
1605024600000.0,484790
1605024660000.0,432084
1605024720000.0,442385
1605024780000.0,583014
1605024840000.0,514595
1605024900000.0,558155
1605024960000.0,629248
1605025020000.0,677634
1605025080000.0,730645
1605025140000.0,548571
1605025200000.0,604103
1605025260000.0,652863
1605025320000.0,551882
1605025380000.0,587725
1605025440000.0,607168
1605025500000.0,662122
1605025560000.0,572109
1605025620000.0,591418
1605025680000.0,529064
1605025740000.0,499686
1605025800000.0,597860
1605025860000.0,457054
1605025920000.0,390775
1605025980000.0,471426
1605026040000.0,500699
1605026100000.0,495377
1605026160000.0,494907
1605026220000.0,497338
1605026280000.0,470500
1605026340000.0,503941
1605026400000.0,582383
1605026460000.0,511994
1605026520000.0,503092
1605026580000.0,572543
1605026640000.0,503763
1605026700000.0,475329
1605026760000.0,441530
1605026820000.0,424679
1605026880000.0,490920
1605026940000.0,437998
1605027000000.0,505643
1605027060000.0,525306
1605027120000.0,497731
1605027180000.0,607807
1605027240000.0,543053
1605027300000.0,593260
1605027360000.0,387575
1605027420000.0,440692
1605027480000.0,571966
1605027540000.0,543201
1605027600000.0,652384
1605027660000.0,600465
1605027720000.0,416598
1605027780000.0,500397
1605027840000.0,485577
1605027900000.0,505536
1605027960000.0,500657
1605028020000.0,386724
1605028080000.0,360262
1605028140000.0,412654
1605028200000.0,317321
1605028260000.0,337226
1605028320000.0,368843
1605028380000.0,366329
1605028440000.0,403483
1605028500000.0,474235
1605028560000.0,511803
1605028620000.0,507572
1605028680000.0,487724
1605028740000.0,334122
1605028800000.0,423629
1605028860000.0,501099
1605028920000.0,435718
1605028980000.0,447307
1605029040000.0,367443
1605029100000.0,374646
1605029160000.0,363072
1605029220000.0,366979
1605029280000.0,612704
1605029340000.0,551909
1605029400000.0,470882
1605029460000.0,499362
1605029520000.0,449234
1605029580000.0,381105
1605029640000.0,291247
1605029700000.0,522938
