time_index,card.nic.pps.avg.t
1605018000000.0,2018
1605018060000.0,2257
1605018120000.0,2267
1605018180000.0,1980
1605018240000.0,2098
1605018300000.0,1937
1605018360000.0,2037
1605018420000.0,2009
1605018480000.0,1985
1605018540000.0,2025
1605018600000.0,1968
1605018660000.0,1923
1605018720000.0,1990
1605018780000.0,1954
1605018840000.0,1984
1605018900000.0,1918
1605018960000.0,1921
1605019020000.0,2044
1605019080000.0,2083
1605019140000.0,2014
1605019200000.0,1991
1605019260000.0,1896
1605019320000.0,1921
1605019380000.0,1908
1605019440000.0,2279
1605019500000.0,1978
1605019560000.0,1887
1605019620000.0,1962
1605019680000.0,1992
1605019740000.0,2028
1605019800000.0,2348
1605019860000.0,2022
1605019920000.0,2141
1605019980000.0,1900
1605020040000.0,2029
1605020100000.0,1919
1605020160000.0,1973
1605020220000.0,3165
1605020280000.0,2408
1605020340000.0,1988
1605020400000.0,2077
1605020460000.0,2440
1605020520000.0,1976
1605020580000.0,1881
1605020640000.0,1958
1605020700000.0,1942
1605020760000.0,1917
1605020820000.0,2091
1605020880000.0,2013
1605020940000.0,2006
1605021000000.0,1975
1605021060000.0,1966
1605021120000.0,1988
1605021180000.0,1946
1605021240000.0,2060
1605021300000.0,1911
1605021360000.0,1979
1605021420000.0,1794
1605021480000.0,1937
1605021540000.0,1922
1605021600000.0,1830
1605021660000.0,1872
1605021720000.0,1910
1605021780000.0,1921
1605021840000.0,1972
1605021900000.0,1877
1605021960000.0,1889
1605022020000.0,1994
1605022080000.0,1831
1605022140000.0,1930
1605022200000.0,1823
1605022260000.0,1877
1605022320000.0,1964
1605022380000.0,1881
1605022440000.0,2598
1605022500000.0,1919
1605022560000.0,1855
1605022620000.0,1993
1605022680000.0,1913
1605022740000.0,1970
1605022800000.0,1790
1605022860000.0,1797
1605022920000.0,1727
1605022980000.0,1737
1605023040000.0,1861
1605023100000.0,1846
1605023160000.0,1976
1605023220000.0,1861
1605023280000.0,1877
1605023340000.0,1970
1605023400000.0,1863
1605023460000.0,1823
1605023520000.0,1826
1605023580000.0,1983
1605023640000.0,1809
1605023700000.0,1820
1605023760000.0,1835
1605023820000.0,1763
1605023880000.0,1618
1605023940000.0,1842
1605024000000.0,2076
1605024060000.0,2299
1605024120000.0,1888
1605024180000.0,1882
1605024240000.0,2019
1605024300000.0,1960
1605024360000.0,1885
1605024420000.0,1863
1605024480000.0,1830
1605024540000.0,1936
1605024600000.0,1825
1605024660000.0,1836
1605024720000.0,1857
1605024780000.0,1889
1605024840000.0,1982
1605024900000.0,1841
1605024960000.0,1823
1605025020000.0,2053
1605025080000.0,1809
1605025140000.0,1983
1605025200000.0,1826
1605025260000.0,1875
1605025320000.0,1840
1605025380000.0,1649
1605025440000.0,1798
1605025500000.0,1806
1605025560000.0,1690
1605025620000.0,1789
1605025680000.0,1688
1605025740000.0,1798
1605025800000.0,1638
1605025860000.0,1673
1605025920000.0,1660
1605025980000.0,1662
1605026040000.0,1715
1605026100000.0,1633
1605026160000.0,1666
1605026220000.0,1748
1605026280000.0,1676
1605026340000.0,1743
1605026400000.0,1655
1605026460000.0,1622
1605026520000.0,1714
1605026580000.0,1641
1605026640000.0,1648
1605026700000.0,1628
1605026760000.0,1659
1605026820000.0,1566
1605026880000.0,1522
1605026940000.0,1595
1605027000000.0,1529
1605027060000.0,1603
1605027120000.0,2105
1605027180000.0,17087
1605027240000.0,17419
1605027300000.0,17140
1605027360000.0,17582
1605027420000.0,17440
1605027480000.0,17057
1605027540000.0,7512
1605027600000.0,1631
1605027660000.0,1589
1605027720000.0,1614
1605027780000.0,1580
1605027840000.0,1627
1605027900000.0,1549
1605027960000.0,1646
1605028020000.0,1627
1605028080000.0,1568
1605028140000.0,1637
1605028200000.0,1585
1605028260000.0,1523
1605028320000.0,1640
1605028380000.0,1651
1605028440000.0,1631
1605028500000.0,1582
1605028560000.0,1543
1605028620000.0,1690
1605028680000.0,1511
1605028740000.0,1592
1605028800000.0,1602
1605028860000.0,1519
1605028920000.0,1609
1605028980000.0,1472
1605029040000.0,1512
1605029100000.0,1513
1605029160000.0,1468
1605029220000.0,1565
1605029280000.0,1468
1605029340000.0,1540
1605029400000.0,1558
1605029460000.0,1541
1605029520000.0,1634
1605029580000.0,1484
1605029640000.0,1626
1605029700000.0,1559
1605029760000.0,1544
1605029820000.0,1584
1605029880000.0,1466
1605029940000.0,1526
1605030000000.0,1524
1605030060000.0,1478
1605030120000.0,1550
1605030180000.0,1467
1605030240000.0,1632
1605030300000.0,1556
1605030360000.0,1534
1605030420000.0,1576
1605030480000.0,1479
1605030540000.0,1500
1605030600000.0,1888
1605030660000.0,1466
1605030720000.0,1558
1605030780000.0,1509
1605030840000.0,1529
1605030900000.0,1473
1605030960000.0,1476
1605031020000.0,1536
1605031080000.0,1495
1605031140000.0,1635
1605031200000.0,1564
1605031260000.0,1486
1605031320000.0,1537
1605031380000.0,1425
1605031440000.0,1546
1605031500000.0,1570
1605031560000.0,1558
1605031620000.0,1552
1605031680000.0,1460
1605031740000.0,1488
1605031800000.0,1461
1605031860000.0,1444
1605031920000.0,1619
1605031980000.0,1513
1605032040000.0,1535
1605032100000.0,1612
1605032160000.0,1560
1605032220000.0,1711
1605032280000.0,1518
1605032340000.0,1574
1605032400000.0,1620
1605032460000.0,1553
1605032520000.0,1544
1605032580000.0,1429
