time_index,card.nic.bps.avg.r
1605018000000.0,15438029000
1605018060000.0,13479157000
1605018120000.0,13417580000
1605018180000.0,13756953000
1605018240000.0,13972613000
1605018300000.0,13451523000
1605018360000.0,12886491000
1605018420000.0,12210301000
1605018480000.0,13423337000
1605018540000.0,13877802000
1605018600000.0,13770818000
1605018660000.0,14094367000
1605018720000.0,13161186000
1605018780000.0,14240668000
1605018840000.0,13473995000
1605018900000.0,14714034000
1605018960000.0,14075677000
1605019020000.0,13255657000
1605019080000.0,14935090000
1605019140000.0,15674768000
1605019200000.0,15585204000
1605019260000.0,15332012000
1605019320000.0,15740260000
1605019380000.0,13921892000
1605019440000.0,14895369000
1605019500000.0,13818435000
1605019560000.0,14453722000
1605019620000.0,13634364000
1605019680000.0,13059833000
1605019740000.0,11988655000
1605019800000.0,13339759000
1605019860000.0,11588798000
1605019920000.0,13549302000
1605019980000.0,14229147000
1605020040000.0,14279422000
1605020100000.0,13505296000
1605020160000.0,14161215000
1605020220000.0,13682231000
1605020280000.0,13034809000
1605020340000.0,11521289000
1605020400000.0,13045337000
1605020460000.0,12602669000
1605020520000.0,11863470000
1605020580000.0,12422478000
1605020640000.0,12128394000
1605020700000.0,11604128000
1605020760000.0,13108524000
1605020820000.0,13344495000
1605020880000.0,13447004000
1605020940000.0,13916492000
1605021000000.0,14545106000
1605021060000.0,14150301000
1605021120000.0,15815033000
1605021180000.0,14790068000
1605021240000.0,13301252000
1605021300000.0,13225293000
1605021360000.0,13128708000
1605021420000.0,12461179000
1605021480000.0,12107428000
1605021540000.0,11019033000
1605021600000.0,10840233000
1605021660000.0,13500731000
1605021720000.0,11807739000
1605021780000.0,11421511000
1605021840000.0,11490683000
1605021900000.0,12015887000
1605021960000.0,11958019000
1605022020000.0,12476505000
1605022080000.0,11471290000
1605022140000.0,13251007000
1605022200000.0,12302825000
1605022260000.0,12909899000
1605022320000.0,11142075000
1605022380000.0,11479181000
1605022440000.0,11559890000
1605022500000.0,12641433000
1605022560000.0,11994781000
1605022620000.0,9798275000
1605022680000.0,10732936000
1605022740000.0,10696934000
1605022800000.0,10632259000
1605022860000.0,11829075000
1605022920000.0,12809858000
1605022980000.0,12178602000
1605023040000.0,11682701000
1605023100000.0,11430750000
1605023160000.0,10992028000
1605023220000.0,11098017000
1605023280000.0,12415261000
1605023340000.0,11587922000
1605023400000.0,12260247000
1605023460000.0,11529198000
1605023520000.0,13944410000
1605023580000.0,12833294000
1605023640000.0,12350384000
1605023700000.0,11531743000
1605023760000.0,13274044000
1605023820000.0,11577978000
1605023880000.0,11140964000
1605023940000.0,12891748000
1605024000000.0,11830225000
1605024060000.0,12150177000
1605024120000.0,10371838000
1605024180000.0,11749247000
1605024240000.0,12863993000
1605024300000.0,12048354000
1605024360000.0,10980505000
1605024420000.0,11620627000
1605024480000.0,11130128000
1605024540000.0,11270047000
1605024600000.0,11248183000
1605024660000.0,11633526000
1605024720000.0,13630058000
1605024780000.0,11362389000
1605024840000.0,12174996000
1605024900000.0,13220728000
1605024960000.0,11474061000
1605025020000.0,9502759000
1605025080000.0,9426123000
1605025140000.0,11045319000
1605025200000.0,10929903000
1605025260000.0,9271916000
1605025320000.0,9954189000
1605025380000.0,11022929000
1605025440000.0,9935780000
1605025500000.0,9100616000
1605025560000.0,9576482000
1605025620000.0,8546454500
1605025680000.0,8085071000
1605025740000.0,8926231000
1605025800000.0,9275687000
1605025860000.0,9093232000
1605025920000.0,8674929000
1605025980000.0,8565446700
1605026040000.0,9613734000
1605026100000.0,9143145000
1605026160000.0,7305357300
1605026220000.0,7471860000
1605026280000.0,8646132000
1605026340000.0,9765772000
1605026400000.0,9474147000
1605026460000.0,9584736000
1605026520000.0,9482506000
1605026580000.0,9499620000
1605026640000.0,9279326000
1605026700000.0,9121897000
1605026760000.0,8907031000
1605026820000.0,9756806000
1605026880000.0,9804704000
1605026940000.0,9672967000
1605027000000.0,10043216000
1605027060000.0,9480344000
1605027120000.0,8772411000
1605027180000.0,8341112300
1605027240000.0,7725839000
1605027300000.0,9223894000
1605027360000.0,9109205000
1605027420000.0,8778802000
1605027480000.0,8218959000
1605027540000.0,7754407000
1605027600000.0,6549425000
1605027660000.0,7628631600
1605027720000.0,7990073000
1605027780000.0,7670002000
1605027840000.0,8083235000
1605027900000.0,8797360000
1605027960000.0,9339138000
1605028020000.0,10158608000
1605028080000.0,10095951000
1605028140000.0,9576035000
1605028200000.0,9536045000
1605028260000.0,9571835000
1605028320000.0,8858157000
1605028380000.0,8554553000
1605028440000.0,8627000000
1605028500000.0,9373098000
1605028560000.0,8409762000
1605028620000.0,7525225000
1605028680000.0,8006948400
1605028740000.0,7317344000
1605028800000.0,6754884000
1605028860000.0,7261664000
1605028920000.0,7624680400
1605028980000.0,7598678000
1605029040000.0,7582634000
1605029100000.0,6954980400
1605029160000.0,6167079400
1605029220000.0,7331726000
1605029280000.0,7983083500
