time_index,card.nic.pps.avg.t
1605018000000.0,624819
1605018060000.0,643467
1605018120000.0,593282
1605018180000.0,603433
1605018240000.0,601234
1605018300000.0,585353
1605018360000.0,599676
1605018420000.0,629473
1605018480000.0,627274
1605018540000.0,629321
1605018600000.0,620451
1605018660000.0,574785
1605018720000.0,623894
1605018780000.0,605423
1605018840000.0,586812
1605018900000.0,606333
1605018960000.0,613359
1605019020000.0,635691
1605019080000.0,687543
1605019140000.0,687135
1605019200000.0,653211
1605019260000.0,651830
1605019320000.0,609848
1605019380000.0,688102
1605019440000.0,737828
1605019500000.0,695011
1605019560000.0,659806
1605019620000.0,696771
1605019680000.0,708143
1605019740000.0,690772
1605019800000.0,723086
1605019860000.0,705638
1605019920000.0,752260
1605019980000.0,729760
1605020040000.0,688844
1605020100000.0,683377
1605020160000.0,670789
1605020220000.0,665936
1605020280000.0,664879
1605020340000.0,710294
1605020400000.0,722190
1605020460000.0,685071
1605020520000.0,671162
1605020580000.0,674012
1605020640000.0,685508
1605020700000.0,702088
1605020760000.0,727971
1605020820000.0,742277
1605020880000.0,680355
1605020940000.0,706543
1605021000000.0,755734
1605021060000.0,700116
1605021120000.0,640242
1605021180000.0,666228
1605021240000.0,688613
1605021300000.0,728991
1605021360000.0,675025
1605021420000.0,692510
1605021480000.0,707803
1605021540000.0,698926
1605021600000.0,697663
1605021660000.0,691043
1605021720000.0,724748
1605021780000.0,691698
1605021840000.0,704749
1605021900000.0,707149
1605021960000.0,697853
1605022020000.0,666536
1605022080000.0,684934
1605022140000.0,692035
1605022200000.0,696961
1605022260000.0,723838
1605022320000.0,778189
1605022380000.0,782844
1605022440000.0,779133
1605022500000.0,760002
1605022560000.0,766679
1605022620000.0,774844
1605022680000.0,750561
1605022740000.0,739131
1605022800000.0,769469
1605022860000.0,689986
1605022920000.0,782522
1605022980000.0,747285
1605023040000.0,717513
1605023100000.0,654952
1605023160000.0,654198
1605023220000.0,695279
1605023280000.0,723390
1605023340000.0,693920
1605023400000.0,728731
1605023460000.0,683035
1605023520000.0,710438
1605023580000.0,733090
1605023640000.0,767812
1605023700000.0,719444
1605023760000.0,692194
1605023820000.0,715811
1605023880000.0,693126
1605023940000.0,728226
1605024000000.0,719236
1605024060000.0,687297
1605024120000.0,706327
1605024180000.0,705053
1605024240000.0,712234
1605024300000.0,706308
1605024360000.0,742945
1605024420000.0,723360
1605024480000.0,723469
1605024540000.0,664344
1605024600000.0,654756
1605024660000.0,682899
1605024720000.0,720201
1605024780000.0,724331
1605024840000.0,699907
1605024900000.0,667961
1605024960000.0,659634
1605025020000.0,654379
1605025080000.0,677602
1605025140000.0,697684
1605025200000.0,698143
1605025260000.0,688653
1605025320000.0,668935
1605025380000.0,675380
1605025440000.0,671293
1605025500000.0,669556
1605025560000.0,685311
1605025620000.0,693497
1605025680000.0,702771
1605025740000.0,712980
1605025800000.0,705043
1605025860000.0,701142
1605025920000.0,761147
1605025980000.0,715170
1605026040000.0,713352
1605026100000.0,725177
1605026160000.0,710115
1605026220000.0,758522
1605026280000.0,736861
1605026340000.0,749952
1605026400000.0,681883
1605026460000.0,712751
1605026520000.0,744448
